club_id,season,squad_market_value_eur,transfer_spending_eur,transfer_income_eur,net_transfer_spending_eur
bayern_munich,2025-26,971500000,88800000,101700000,-12900000
borussia_dortmund,2025-26,490300000,99700000,76500000,23200000
rb_leipzig,2025-26,498800000,159500000,197550000,-38050000
vfb_stuttgart,2025-26,400650000,59500000,116550000,-57050000
hoffenheim,2025-26,256300000,29850000,31200000,-1350000
bayer_leverkusen,2025-26,443950000,199150000,230950000,-31800000
freiburg,2025-26,190675000,32700000,31550000,1150000
eintracht_frankfurt,2025-26,374350000,74800000,128200000,-53400000
augsburg,2025-26,149050000,29000000,20750000,8250000
mainz,2025-26,157550000,19850000,25580000,-5730000
union_berlin,2025-26,127050000,18100000,18400000,-300000
borussia_monchengladbach,2025-26,151050000,17600000,28250000,-10650000
hamburg,2025-26,175900000,15650000,7690000,7960000
cologne,2025-26,150575000,24530000,12400000,12130000
werder_bremen,2025-26,172100000,10650000,8500000,2150000
wolfsburg,2025-26,204800000,68650000,37670000,30980000
heidenheim,2025-26,63900000,1500000,9000000,-7500000
st_pauli,2025-26,63000000,14500000,12050000,2450000